Consolidated Statement of Changes in Stockholders' Equity and Changes in Net Assets - USD ($) $ in Thousands,Total,Common Stock [Member],Capital in Excess of Par [Member],Treasury Stock [Member],Retained Earnings (Accumulated Deficit) [Member],Accumulated Other Comprehensive Income (Loss) [Member],Parent [Member],Noncontrolling Interest [Member]
"Balance at Dec. 31, 2018",290204.0,274.0,274292.0,-24919.0,13043.0,-82.0,262608.0,27596.0
"Balance, shares at Dec. 31, 2018",,27385600.0,,-2951243.0,,,,
Net income (loss),1996.0,,,,-1762.0,,-1762.0,3758.0
Non-controlling interest equity raised by Medallion Bank,42485.0,,,,,,,42485.0
Distributions to non-controlling interest,-2519.0,,,,,,,-2519.0
Stock-based compensation,1221.0,2.0,1219.0,,,,1221.0,
"Issuance of restricted stock, net, shares",,216148.0,,,,,,
"Forfeiture of restricted stock, net, shares",,-3946.0,,,,,,
"Exercise of stock options,shares",0.0,,,,,,,
"Net change in unrealized gains (losses) on investments, net of tax",1081.0,,,,,1081.0,1081.0,
"Ending balance at Dec. 31, 2019",334468.0,276.0,275511.0,-24919.0,11281.0,999.0,263148.0,71320.0
"Ending balance, shares at Dec. 31, 2019",,27597802.0,,-2951243.0,,,,
Net income (loss),-26907.0,,,,-34783.0,0.0,-34783.0,7876.0
Distributions to non-controlling interest,-6043.0,,,,,,,-6043.0
Stock-based compensation,2030.0,2.0,2028.0,,,,2030.0,
"Issuance of restricted stock, net, shares",,229408.0,,,,,,
"Forfeiture of restricted stock, net, shares",,-8755.0,,,,,,
"Issuance of restricted stock units, net, shares",,10416.0,,,,,,
"Exercise of stock options,shares",0.0,,,,,,,
"Net change in unrealized gains (losses) on investments, net of tax",1013.0,,,,,1013.0,1013.0,
"Ending balance at Dec. 31, 2020",304561.0,278.0,277539.0,-24919.0,-23502.0,2012.0,231408.0,73153.0
"Ending balance, shares at Dec. 31, 2020",24877628.0,27828871.0,,-2951243.0,,,,
Net income (loss),57654.0,,,,54108.0,0.0,54108.0,3546.0
Distributions to non-controlling interest,-6516.0,,,,,,,-6516.0
Disposition of RPAC,-1395.0,,,,,,,-1395.0
Stock-based compensation,2261.0,3.0,2258.0,,,,2261.0,
"Stock-based compensation,shares",,0.0,,,,,,
"Issuance of restricted stock, net",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Issuance of restricted stock, net, shares",,258120.0,,,,,,
"Forfeiture of restricted stock, net",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Forfeiture of restricted stock, net, shares",,-21940.0,,,,,,
"Issuance of restricted stock units, net, shares",,15508.0,,,,,,
"Exercise of stock options,value",241.0,,241.0,,,,241.0,
"Exercise of stock options,shares",44070.0,44070.0,,,,,,
"Net change in unrealized gains (losses) on investments, net of tax",-978.0,,,,,-978.0,-978.0,
"Ending balance at Dec. 31, 2021",355828.0,281.0,280038.0,-24919.0,30606.0,1034.0,287040.0,68788.0
"Ending balance, shares at Dec. 31, 2021",25173386.0,28124629.0,,-2951243.0,,,,
